,Searched,City,State,Lat,Lng,Restaurant,Category,Transactions,Category 1,Category 2,Category 3,Vegan Options
14896,"Upper Arlington city, Ohio",Columbus,OH,40.02198,-83.012886,Gatto's Pizza,['Pizza'],"['pickup', 'delivery']",Pizza,,,False
14897,"Upper Arlington city, Ohio",Columbus,OH,40.0116,-83.01022,Taste of Orient,"['Chinese', 'Asian Fusion', 'Thai']","['pickup', 'delivery']",Chinese,Asian Fusion,Thai,False
14898,"Upper Arlington city, Ohio",Columbus,OH,39.99301,-83.00647,Sushi High,"['Japanese', 'Bubble Tea', 'Asian Fusion']","['pickup', 'delivery']",Japanese,Bubble Tea,Asian Fusion,False
14899,"Upper Arlington city, Ohio",Columbus,OH,39.97128,-83.00264,Char Bar,"['Pubs', 'Dive Bars']",[],Pubs,Dive Bars,,False
14900,"Upper Arlington city, Ohio",Columbus,OH,39.9853553771973,-83.0444564819336,Panzera's Pizza,['Pizza'],"['pickup', 'delivery']",Pizza,,,False
14901,"Upper Arlington city, Ohio",Columbus,OH,39.9716562070034,-83.0042289539673,Brezel,"['Bakeries', 'Pretzels']","['pickup', 'delivery']",Bakeries,Pretzels,,False
14902,"Upper Arlington city, Ohio",Upper Arlington,OH,40.006713,-83.052556,The Social,['Bars'],[],Bars,,,False
14903,"Upper Arlington city, Ohio",Columbus,OH,40.0641232636238,-83.0604316816841,Texas Roadhouse,"['Steakhouses', 'Barbeque', 'American (Traditional)']",[],Steakhouses,Barbeque,American (Traditional),False
14904,"Upper Arlington city, Ohio",Columbus,OH,39.9839676,-83.0266123,Chick-fil-A,['Fast Food'],[],Fast Food,,,False
14905,"Upper Arlington city, Ohio",Columbus,OH,39.961758,-83.002053,Danny's Delicious Deli,"['Delis', 'Burgers', 'American (Traditional)']",['delivery'],Delis,Burgers,American (Traditional),False
14906,"Upper Arlington city, Ohio",Columbus,OH,40.00735,-83.00964,Insomnia Cookies,"['Desserts', 'Bakeries', 'Ice Cream & Frozen Yogurt']","['pickup', 'delivery']",Desserts,Bakeries,Ice Cream & Frozen Yogurt,False
14907,"Upper Arlington city, Ohio",Upper Arlington,OH,40.021219,-83.0590606480837,Don Tequila Grill,"['Mexican', 'Bars']","['pickup', 'delivery']",Mexican,Bars,,False
14908,"Upper Arlington city, Ohio",Columbus,OH,39.9533882,-83.1142731,York Steakhouse,['Steakhouses'],['delivery'],Steakhouses,,,False
14909,"Upper Arlington city, Ohio",Columbus,OH,40.05957,-83.04813,Cousin Vinny's Pizza,['Pizza'],"['pickup', 'delivery']",Pizza,,,False
14910,"Upper Arlington city, Ohio",Columbus,OH,40.0065198450578,-83.016974617791,Varsity Club Restaurant & Bar,"['Sandwiches', 'Beer Bar', 'Pizza']","['pickup', 'delivery']",Sandwiches,Beer Bar,Pizza,False
14911,"Upper Arlington city, Ohio",Columbus,OH,39.9924964904785,-83.0069885253906,Bier Stube,"['Dive Bars', 'Sports Bars']",['delivery'],Dive Bars,Sports Bars,,False
14912,"Upper Arlington city, Ohio",Columbus,OH,39.9857,-83.00497,Short North Goody Boy,"['Diners', 'Bars', 'Sandwiches']",[],Diners,Bars,Sandwiches,False
14913,"Upper Arlington city, Ohio",Columbus,OH,39.971684,-83.004388,Satori Ramen Bar,"['Ramen', 'Tapas/Small Plates']","['pickup', 'delivery']",Ramen,Tapas/Small Plates,,False
14914,"Upper Arlington city, Ohio",Columbus,OH,39.9535408,-83.0961685,Number One Gyro Shoppe,['Greek'],['delivery'],Greek,,,False
14915,"Upper Arlington city, Ohio",Columbus,OH,40.01779,-83.0239063,Chicken & Tea,"['Taiwanese', 'Food Trucks']","['pickup', 'delivery']",Taiwanese,Food Trucks,,False
14916,"Upper Arlington city, Ohio",Columbus,OH,39.9474622,-82.9976153,Antiques On High,"['Cocktail Bars', 'Brewpubs']",[],Cocktail Bars,Brewpubs,,False
14917,"Upper Arlington city, Ohio",Upper Arlington,OH,40.0559706,-83.0724638,Amazing Wok,['Chinese'],['delivery'],Chinese,,,False
14918,"Upper Arlington city, Ohio",Columbus,OH,39.9652682,-83.0012532,Deli Boys,"['Breakfast & Brunch', 'Sandwiches', 'Delis']",['delivery'],Breakfast & Brunch,Sandwiches,Delis,False
14919,"Upper Arlington city, Ohio",Columbus,OH,39.9946317439033,-83.0142402648926,Bruegger's Bagels,"['Breakfast & Brunch', 'Bagels', 'Sandwiches']",['delivery'],Breakfast & Brunch,Bagels,Sandwiches,False
14920,"Upper Arlington city, Ohio",Columbus,OH,39.98629,-83.00429,Midnight Hookah,['Hookah Bars'],"['pickup', 'delivery']",Hookah Bars,,,False
14921,"Upper Arlington city, Ohio",Columbus,OH,39.94387,-83.106,Los Guachos,"['Food Stands', 'Mexican']",['delivery'],Food Stands,Mexican,,False
14922,"Upper Arlington city, Ohio",Columbus,OH,39.98335,-82.99926,Drunch Eatery + Bar,"['Breakfast & Brunch', 'American (New)', 'Gastropubs']",['delivery'],Breakfast & Brunch,American (New),Gastropubs,False
14923,"Upper Arlington city, Ohio",Columbus,OH,40.0066986083984,-83.0144500732422,The Thirsty Scholar,"['Bars', 'American (Traditional)', 'Karaoke']",['delivery'],Bars,American (Traditional),Karaoke,False
14924,"Upper Arlington city, Ohio",Columbus,OH,40.05,-83.01986,Ying's Teahouse & Yum-Yum,['Chinese'],"['pickup', 'delivery']",Chinese,,,False
14925,"Upper Arlington city, Ohio",Columbus,OH,40.070484161377,-83.0195465087891,Iron Grill Barbecue and Brew,"['Barbeque', 'Burgers', 'American (Traditional)']",['pickup'],Barbeque,Burgers,American (Traditional),False
14926,"Upper Arlington city, Ohio",Columbus,OH,39.960083,-83.011299,Spaghetti Warehouse,['Italian'],"['pickup', 'delivery']",Italian,,,False
14927,"Upper Arlington city, Ohio",Columbus,OH,39.9550552368164,-82.9988098144531,Dempsey's Food & Spirits,"['American (Traditional)', 'Breakfast & Brunch', 'Sandwiches']","['pickup', 'delivery']",American (Traditional),Breakfast & Brunch,Sandwiches,False
14928,"Upper Arlington city, Ohio",Columbus,OH,39.9887754000052,-83.0442695688052,Barrio,"['Do-It-Yourself Food', 'Tacos']",[],Do-It-Yourself Food,Tacos,,False
14929,"Upper Arlington city, Ohio",Columbus,OH,39.95202,-82.99847,First Watch,"['Breakfast & Brunch', 'Cafes', 'American (Traditional)']",['delivery'],Breakfast & Brunch,Cafes,American (Traditional),False
14930,"Upper Arlington city, Ohio",Columbus,OH,39.992531,-83.025331,Starbucks,['Coffee & Tea'],['delivery'],Coffee & Tea,,,False
